countrycode,country,city,year,subject,value
NLD,The Netherlands,Amsterdam,2011,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2011,Share of students in higher education in the total population (per 1000 persons),69
NLD,The Netherlands,Amsterdam,2011,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2012,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2012,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2012,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","53,024"
NLD,The Netherlands,Amsterdam,2012,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","81,000"
NLD,The Netherlands,Amsterdam,2012,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"131,000"
NLD,The Netherlands,Amsterdam,2012,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","254,000"
NLD,The Netherlands,Amsterdam,2012,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2012,Share of students in higher education in the total population (per 1000 persons),67
NLD,The Netherlands,Amsterdam,2012,Proportion of working age population qualified at level 3 or 4 ISCED,27.6
NLD,The Netherlands,Amsterdam,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",53.6
NLD,The Netherlands,Amsterdam,2013,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2013,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2013,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
NLD,The Netherlands,Amsterdam,2013,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
NLD,The Netherlands,Amsterdam,2013,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
NLD,The Netherlands,Amsterdam,2013,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2013,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2013,Share of students in higher education in the total population (per 1000 persons),-
NLD,The Netherlands,Amsterdam,2013,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2014,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2014,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2014,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
NLD,The Netherlands,Amsterdam,2014,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
NLD,The Netherlands,Amsterdam,2014,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
NLD,The Netherlands,Amsterdam,2014,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2014,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2014,Share of students in higher education in the total population (per 1000 persons),-
NLD,The Netherlands,Amsterdam,2014,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2015,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2015,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2015,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
NLD,The Netherlands,Amsterdam,2015,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
NLD,The Netherlands,Amsterdam,2015,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
NLD,The Netherlands,Amsterdam,2015,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2015,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2015,Share of students in higher education in the total population (per 1000 persons),-
NLD,The Netherlands,Amsterdam,2015,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2016,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2016,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2016,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
NLD,The Netherlands,Amsterdam,2016,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
NLD,The Netherlands,Amsterdam,2016,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
NLD,The Netherlands,Amsterdam,2016,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2016,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2016,Share of students in higher education in the total population (per 1000 persons),-
NLD,The Netherlands,Amsterdam,2016,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2017,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2017,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2017,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
NLD,The Netherlands,Amsterdam,2017,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
NLD,The Netherlands,Amsterdam,2017,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
NLD,The Netherlands,Amsterdam,2017,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2017,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2017,Share of students in higher education in the total population (per 1000 persons),-
NLD,The Netherlands,Amsterdam,2017,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2008,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2008,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2008,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2008,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2008,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2008,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2008,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2008,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2008,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2009,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2009,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2009,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2009,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2009,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2009,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2009,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2009,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2009,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2010,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2010,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2010,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2010,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2010,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2010,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2010,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2010,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2010,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2011,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2011,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2011,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2011,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2011,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2011,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2011,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2011,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2011,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2012,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2012,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2012,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2012,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2012,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2012,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2012,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2012,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2012,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2013,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2013,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2013,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2013,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2013,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2013,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2013,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2013,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2013,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2014,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2014,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2014,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2014,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2014,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2014,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2014,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2014,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2014,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2015,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2015,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2015,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2015,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2015,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2015,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2015,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2015,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2015,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2016,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2016,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2016,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2016,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2016,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2016,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2016,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2016,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2016,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2017,Number of children 0-4 in day care or school,-
TUR,Turkey,Ankara,2017,"Share of early leavers from education and training, total -%",-
TUR,Turkey,Ankara,2017,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
TUR,Turkey,Ankara,2017,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
TUR,Turkey,Ankara,2017,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
TUR,Turkey,Ankara,2017,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
TUR,Turkey,Ankara,2017,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
TUR,Turkey,Ankara,2017,Share of students in higher education in the total population (per 1000 persons),-
TUR,Turkey,Ankara,2017,Proportion of working age population qualified at level 3 or 4 ISCED,-
TUR,Turkey,Ankara,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2008,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2008,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2008,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
GRC,Greece,Athens,2008,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","148,727"
GRC,Greece,Athens,2008,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"275,471"
GRC,Greece,Athens,2008,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","161,262"
GRC,Greece,Athens,2008,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2008,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2008,Proportion of working age population qualified at level 3 or 4 ISCED,58
GRC,Greece,Athens,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",34
GRC,Greece,Athens,2009,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2009,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2009,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
GRC,Greece,Athens,2009,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","145,918"
GRC,Greece,Athens,2009,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"275,801"
GRC,Greece,Athens,2009,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","165,713"
GRC,Greece,Athens,2009,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2009,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2009,Proportion of working age population qualified at level 3 or 4 ISCED,57.7
GRC,Greece,Athens,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",34.7
GRC,Greece,Athens,2010,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2010,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2010,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","32,891"
GRC,Greece,Athens,2010,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
GRC,Greece,Athens,2010,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
GRC,Greece,Athens,2010,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
GRC,Greece,Athens,2010,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2010,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2010,Proportion of working age population qualified at level 3 or 4 ISCED,-
GRC,Greece,Athens,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2011,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2011,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2011,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","33,631"
GRC,Greece,Athens,2011,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","80,823"
GRC,Greece,Athens,2011,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"172,524"
GRC,Greece,Athens,2011,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","130,247"
GRC,Greece,Athens,2011,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2011,Share of students in higher education in the total population (per 1000 persons),51
GRC,Greece,Athens,2011,Proportion of working age population qualified at level 3 or 4 ISCED,44.1
GRC,Greece,Athens,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",33.3
GRC,Greece,Athens,2012,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2012,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2012,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","32,331"
GRC,Greece,Athens,2012,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
GRC,Greece,Athens,2012,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
GRC,Greece,Athens,2012,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
GRC,Greece,Athens,2012,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2012,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2012,Proportion of working age population qualified at level 3 or 4 ISCED,-
GRC,Greece,Athens,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2013,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2013,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2013,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","27,066"
GRC,Greece,Athens,2013,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
GRC,Greece,Athens,2013,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
GRC,Greece,Athens,2013,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
GRC,Greece,Athens,2013,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2013,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2013,Proportion of working age population qualified at level 3 or 4 ISCED,-
GRC,Greece,Athens,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2014,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2014,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2014,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
GRC,Greece,Athens,2014,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
GRC,Greece,Athens,2014,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
GRC,Greece,Athens,2014,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
GRC,Greece,Athens,2014,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2014,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2014,Proportion of working age population qualified at level 3 or 4 ISCED,-
GRC,Greece,Athens,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2015,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2015,"Share of early leavers from education and training, total -%",-
GRC,Greece,Athens,2015,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
GRC,Greece,Athens,2015,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
GRC,Greece,Athens,2015,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
GRC,Greece,Athens,2015,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
GRC,Greece,Athens,2015,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
GRC,Greece,Athens,2015,Share of students in higher education in the total population (per 1000 persons),-
GRC,Greece,Athens,2015,Proportion of working age population qualified at level 3 or 4 ISCED,-
GRC,Greece,Athens,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2016,Number of children 0-4 in day care or school,-
GRC,Greece,Athens,2016,"Share of early leavers from education and training, total -%",-
