countrycode,country,city,year,subject,value
DEU,Germany,Berlin,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",36.5
DEU,Germany,Berlin,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",39.3
DEU,Germany,Berlin,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DEU,Germany,Berlin,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DEU,Germany,Berlin,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DEU,Germany,Berlin,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DEU,Germany,Berlin,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CHE,Switzerland,Bern,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CHE,Switzerland,Bern,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CHE,Switzerland,Bern,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CHE,Switzerland,Bern,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",45.9
CHE,Switzerland,Bern,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",46.5
CHE,Switzerland,Bern,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",48.9
CHE,Switzerland,Bern,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",51
CHE,Switzerland,Bern,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",52.5
CHE,Switzerland,Bern,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",53.8
CHE,Switzerland,Bern,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVK,Slovakia,Bratislava,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",43
BEL,Belgium,Brussels,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BEL,Belgium,Brussels,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",37.8
HUN,Hungary,Budapest,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",45.9
DNK,Denmark,Copenhagen,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",46.9
DNK,Denmark,Copenhagen,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",39.2
IRL,Ireland,Dublin,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
IRL,Ireland,Dublin,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FIN,Finland,Helsinki,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FIN,Finland,Helsinki,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FIN,Finland,Helsinki,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",46.4
FIN,Finland,Helsinki,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",47
FIN,Finland,Helsinki,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FIN,Finland,Helsinki,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FIN,Finland,Helsinki,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FIN,Finland,Helsinki,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",48.6
FIN,Finland,Helsinki,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",48.7
FIN,Finland,Helsinki,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CYP,Cyprus,Lefkosia,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",42.8
PRT,Portugal,Lisbon,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
PRT,Portugal,Lisbon,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVN,Slovenia,Ljubljana,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVN,Slovenia,Ljubljana,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVN,Slovenia,Ljubljana,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVN,Slovenia,Ljubljana,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",33.7
SVN,Slovenia,Ljubljana,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
SVN,Slovenia,Ljubljana,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",36.1
SVN,Slovenia,Ljubljana,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",37.4
SVN,Slovenia,Ljubljana,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",38.3
SVN,Slovenia,Ljubljana,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",48
SVN,Slovenia,Ljubljana,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",39.7
GBR,United Kingdom,London,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",44.4
GBR,United Kingdom,London,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",54.3
GBR,United Kingdom,London,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GBR,United Kingdom,London,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LUX,Luxembourg,Luxembourg,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",48.6
ESP,Spain,Madrid,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ESP,Spain,Madrid,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NOR,Norway,Oslo,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",49.4
NOR,Norway,Oslo,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NOR,Norway,Oslo,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",50.5
NOR,Norway,Oslo,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",51.5
NOR,Norway,Oslo,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",52
NOR,Norway,Oslo,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NOR,Norway,Oslo,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NOR,Norway,Oslo,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NOR,Norway,Oslo,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NOR,Norway,Oslo,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FRA,France,Paris,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FRA,France,Paris,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FRA,France,Paris,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",57.6
FRA,France,Paris,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",58.3
FRA,France,Paris,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",59.3
FRA,France,Paris,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FRA,France,Paris,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",60.4
FRA,France,Paris,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FRA,France,Paris,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
FRA,France,Paris,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",38.8
CZE,Czech Republic,Prague,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
CZE,Czech Republic,Prague,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LVA,Latvia,Riga,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",38
LVA,Latvia,Riga,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LVA,Latvia,Riga,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LVA,Latvia,Riga,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",37.7
LVA,Latvia,Riga,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",39.2
LVA,Latvia,Riga,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LVA,Latvia,Riga,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
LVA,Latvia,Riga,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",40.6
LVA,Latvia,Riga,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",44
LVA,Latvia,Riga,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",27.1
ITA,Italy,Roma,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ITA,Italy,Roma,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BGR,Bulgaria,Sofia,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",47.5
BGR,Bulgaria,Sofia,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
BGR,Bulgaria,Sofia,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
